[frag] hunt: frames=[(3, 7), (4, 6)] weights=[(3, 3), (4, 3), (3, 4)] modes=['heavyy', 'rand', 'spready'] per-block=400 budget=3300s resume-skip=0
[frag]     86s pass=1 wrote=760 csafe=35 {'k0': 688, 'axes': 72, 'CSAFE_DOUBLES': 35, 'no_tight_witness': 50, 'safe_floor_fail': 55, 'k_drift': 4}
[frag]     87s pass=1 wrote=800 csafe=35 {'k0': 724, 'axes': 76, 'CSAFE_DOUBLES': 35, 'no_tight_witness': 52, 'safe_floor_fail': 61, 'k_drift': 4}
[frag]     89s pass=1 wrote=840 csafe=37 {'k0': 758, 'axes': 82, 'CSAFE_DOUBLES': 37, 'no_tight_witness': 55, 'safe_floor_fail': 67, 'k_drift': 5}
[frag]     90s pass=1 wrote=880 csafe=38 {'k0': 795, 'axes': 85, 'CSAFE_DOUBLES': 38, 'no_tight_witness': 56, 'safe_floor_fail': 71, 'k_drift': 5}
[frag]     91s pass=1 wrote=920 csafe=38 {'k0': 833, 'axes': 87, 'CSAFE_DOUBLES': 38, 'no_tight_witness': 58, 'safe_floor_fail': 73, 'k_drift': 5}
[frag]     98s pass=1 wrote=960 csafe=42 {'k0': 867, 'axes': 93, 'CSAFE_DOUBLES': 42, 'no_tight_witness': 60, 'safe_floor_fail': 78, 'k_drift': 6}
[frag]    100s pass=1 wrote=1000 csafe=45 {'k0': 903, 'axes': 97, 'CSAFE_DOUBLES': 45, 'no_tight_witness': 63, 'safe_floor_fail': 79, 'k_drift': 7}
[frag]    100s pass=1 wrote=1040 csafe=45 {'k0': 943, 'axes': 97, 'CSAFE_DOUBLES': 45, 'no_tight_witness': 63, 'safe_floor_fail': 79, 'k_drift': 7}
[frag]    101s pass=1 wrote=1080 csafe=45 {'k0': 981, 'axes': 99, 'CSAFE_DOUBLES': 45, 'no_tight_witness': 63, 'safe_floor_fail': 83, 'k_drift': 7}
[frag]    104s pass=1 wrote=1120 csafe=46 {'k0': 1019, 'axes': 101, 'CSAFE_DOUBLES': 46, 'no_tight_witness': 64, 'safe_floor_fail': 85, 'k_drift': 7}
[frag]    105s pass=1 wrote=1160 csafe=46 {'k0': 1058, 'axes': 102, 'CSAFE_DOUBLES': 46, 'no_tight_witness': 64, 'safe_floor_fail': 87, 'k_drift': 7}
[frag]    109s pass=1 wrote=1200 csafe=47 {'k0': 1090, 'axes': 110, 'CSAFE_DOUBLES': 47, 'no_tight_witness': 67, 'safe_floor_fail': 98, 'k_drift': 8}
[frag]    113s pass=1 wrote=1240 csafe=49 {'k0': 1127, 'axes': 113, 'CSAFE_DOUBLES': 49, 'no_tight_witness': 70, 'safe_floor_fail': 99, 'k_drift': 8}
